order_id,customer_id,store_id,order_date,order_status,order_channel,total_amount,discount_amount,shipping_amount,created_at,updated_at
O001,C001,ST001,2024-01-05,DELIVERED,ONLINE,35000,1750,0,2024-01-05 10:23:00,2024-01-12 14:30:00
O002,C002,ST002,2024-01-08,DELIVERED,ONLINE,4999,0,99,2024-01-08 14:15:00,2024-01-15 10:45:00
O003,C003,ST001,2024-01-10,CANCELLED,ONLINE,7999,400,0,2024-01-10 09:30:00,2024-01-11 11:20:00
O004,C004,ST003,2024-01-12,DELIVERED,IN_STORE,1499,0,0,2024-01-12 16:45:00,2024-01-12 16:45:00
O005,C005,ST002,2024-01-15,RETURNED,ONLINE,79999,8000,0,2024-01-15 11:20:00,2024-01-25 09:30:00
O006,C006,ST004,2024-01-18,DELIVERED,ONLINE,3499,175,49,2024-01-18 13:10:00,2024-01-25 15:20:00
O007,C007,ST001,2024-01-20,PROCESSING,ONLINE,6499,0,99,2024-01-20 08:55:00,2024-01-20 08:55:00
O008,C008,ST005,2024-01-22,DELIVERED,IN_STORE,1299,65,0,2024-01-22 15:30:00,2024-01-22 15:30:00
O009,C009,ST003,2024-01-25,SHIPPED,ONLINE,14999,750,0,2024-01-25 10:45:00,2024-01-27 14:15:00
O010,C010,ST006,2024-01-28,DELIVERED,ONLINE,2999,0,49,2024-01-28 09:20:00,2024-02-04 11:30:00
