inventory_id,product_id,store_id,quantity_available,quantity_reserved,reorder_level,last_restocked_date,snapshot_date
INV001,P001,ST001,15,2,5,2024-01-01,2024-01-31
INV002,P002,ST001,45,3,10,2024-01-10,2024-01-31
INV003,P003,ST002,30,1,8,2024-01-05,2024-01-31
INV004,P004,ST002,12,0,5,2023-12-28,2024-01-31
INV005,P005,ST001,8,1,3,2024-01-15,2024-01-31
INV006,P006,ST003,25,2,10,2024-01-08,2024-01-31
INV007,P007,ST003,6,0,3,2023-12-20,2024-01-31
INV008,P008,ST004,35,4,10,2024-01-12,2024-01-31
INV009,P009,ST004,50,5,15,2024-01-03,2024-01-31
INV010,P010,ST005,0,0,5,2023-11-15,2024-01-31
