order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_amount,created_at
OI001,O001,P001,1,35000,1750,33250,2024-01-05 10:23:00
OI002,O002,P002,1,4999,0,4999,2024-01-08 14:15:00
OI003,O003,P004,1,7999,400,7599,2024-01-10 09:30:00
OI004,O004,P003,1,1499,0,1499,2024-01-12 16:45:00
OI005,O005,P005,1,79999,8000,71999,2024-01-15 11:20:00
OI006,O006,P008,1,3499,175,3324,2024-01-18 13:10:00
OI007,O007,P007,1,6499,0,6499,2024-01-20 08:55:00
OI008,O008,P006,1,1299,65,1234,2024-01-22 15:30:00
OI009,O009,P010,1,14999,750,14249,2024-01-25 10:45:00
OI010,O010,P009,1,2999,0,2999,2024-01-28 09:20:00
