payment_id,order_id,payment_method,payment_status,amount,currency,transaction_id,payment_date,created_at
PM001,O001,CREDIT_CARD,SUCCESS,35000,INR,TXN001ABC,2024-01-05 10:25:00,2024-01-05 10:25:00
PM002,O002,UPI,SUCCESS,5098,INR,TXN002DEF,2024-01-08 14:17:00,2024-01-08 14:17:00
PM003,O003,DEBIT_CARD,REFUNDED,7999,INR,TXN003GHI,2024-01-10 09:32:00,2024-01-10 09:32:00
PM004,O004,CASH,SUCCESS,1499,INR,TXN004JKL,2024-01-12 16:47:00,2024-01-12 16:47:00
PM005,O005,CREDIT_CARD,REFUNDED,79999,INR,TXN005MNO,2024-01-15 11:22:00,2024-01-15 11:22:00
PM006,O006,UPI,SUCCESS,3548,INR,TXN006PQR,2024-01-18 13:12:00,2024-01-18 13:12:00
PM007,O007,NET_BANKING,PENDING,6598,INR,TXN007STU,2024-01-20 08:57:00,2024-01-20 08:57:00
PM008,O008,CASH,SUCCESS,1299,INR,TXN008VWX,2024-01-22 15:32:00,2024-01-22 15:32:00
PM009,O009,CREDIT_CARD,SUCCESS,14999,INR,TXN009YZA,2024-01-25 10:47:00,2024-01-25 10:47:00
PM010,O010,UPI,SUCCESS,3048,INR,TXN010BCD,2024-01-28 09:22:00,2024-01-28 09:22:00
